"행정구역","2024년06월_총인구수","2024년06월_세대수","2024년06월_세대당 인구","2024년06월_남자 인구수","2024년06월_여자 인구수","2024년06월_남여 비율"
"전국  (1000000000)","51,271,480","24,057,429","          2.13","25,532,696","25,738,784","          0.99"
"서울특별시  (1100000000)","9,366,283","4,486,014","          2.09","4,524,862","4,841,421","          0.93"
"부산광역시  (2600000000)","3,280,749","1,570,212","          2.09","1,597,869","1,682,880","          0.95"
"대구광역시  (2700000000)","2,367,183","1,100,317","          2.15","1,162,046","1,205,137","          0.96"
"인천광역시  (2800000000)","3,011,073","1,364,650","          2.21","1,505,177","1,505,896","          1.00"
"광주광역시  (2900000000)","1,413,606","657,693","          2.15","697,904","715,702","          0.98"
"대전광역시  (3000000000)","1,440,558","685,633","          2.10","718,295","722,263","          0.99"
"울산광역시  (3100000000)","1,100,304","493,783","          2.23","565,890","534,414","          1.06"
"세종특별자치시  (3600000000)","387,940","162,161","          2.39","193,149","194,791","          0.99"
"경기도  (4100000000)","13,661,438","6,025,219","          2.27","6,868,886","6,792,552","          1.01"
"강원특별자치도  (5100000000)","1,522,542","764,385","          1.99","765,760","756,782","          1.01"
"충청북도  (4300000000)","1,591,485","785,163","          2.03","809,921","781,564","          1.04"
"충청남도  (4400000000)","2,134,817","1,047,238","          2.04","1,094,922","1,039,895","          1.05"
"전북특별자치도  (5200000000)","1,745,885","864,100","          2.02","869,197","876,688","          0.99"
"전라남도  (4600000000)","1,794,967","912,551","          1.97","905,462","889,505","          1.02"
"경상북도  (4700000000)","2,544,174","1,291,330","          1.97","1,286,551","1,257,623","          1.02"
"경상남도  (4800000000)","3,236,224","1,532,659","          2.11","1,630,324","1,605,900","          1.02"
"제주특별자치도  (5000000000)","672,252","314,321","          2.14","336,481","335,771","          1.00"
