"행정구역","2024년01월_총인구수","2024년01월_세대수","2024년01월_세대당 인구","2024년01월_남자 인구수","2024년01월_여자 인구수","2024년01월_남여 비율","2024년02월_총인구수","2024년02월_세대수","2024년02월_세대당 인구","2024년02월_남자 인구수","2024년02월_여자 인구수","2024년02월_남여 비율","2024년03월_총인구수","2024년03월_세대수","2024년03월_세대당 인구","2024년03월_남자 인구수","2024년03월_여자 인구수","2024년03월_남여 비율","2024년04월_총인구수","2024년04월_세대수","2024년04월_세대당 인구","2024년04월_남자 인구수","2024년04월_여자 인구수","2024년04월_남여 비율","2024년05월_총인구수","2024년05월_세대수","2024년05월_세대당 인구","2024년05월_남자 인구수","2024년05월_여자 인구수","2024년05월_남여 비율","2024년06월_총인구수","2024년06월_세대수","2024년06월_세대당 인구","2024년06월_남자 인구수","2024년06월_여자 인구수","2024년06월_남여 비율"
"전국  (1000000000)","51,313,912","23,924,692","          2.14","25,558,944","25,754,968","          0.99","51,303,688","23,962,497","          2.14","25,553,189","25,750,499","          0.99","51,293,934","24,002,008","          2.14","25,547,370","25,746,564","          0.99","51,285,153","24,021,667","          2.13","25,541,855","25,743,298","          0.99","51,277,347","24,042,533","          2.13","25,536,793","25,740,554","          0.99","51,271,480","24,057,429","          2.13","25,532,696","25,738,784","          0.99"
"서울특별시  (1100000000)","9,384,325","4,471,017","          2.10","4,538,354","4,845,971","          0.94","9,386,705","4,480,607","          2.09","4,538,306","4,848,399","          0.94","9,384,739","4,485,819","          2.09","4,536,128","4,848,611","          0.94","9,378,269","4,486,137","          2.09","4,532,115","4,846,154","          0.94","9,371,930","4,486,224","          2.09","4,528,234","4,843,696","          0.93","9,366,283","4,486,014","          2.09","4,524,862","4,841,421","          0.93"
"부산광역시  (2600000000)","3,290,964","1,564,763","          2.10","1,603,859","1,687,105","          0.95","3,289,401","1,567,409","          2.10","1,602,971","1,686,430","          0.95","3,287,292","1,569,084","          2.10","1,601,773","1,685,519","          0.95","3,284,947","1,569,293","          2.09","1,600,234","1,684,713","          0.95","3,282,751","1,569,954","          2.09","1,599,048","1,683,703","          0.95","3,280,749","1,570,212","          2.09","1,597,869","1,682,880","          0.95"
"대구광역시  (2700000000)","2,373,844","1,094,529","          2.17","1,166,110","1,207,734","          0.97","2,372,008","1,095,812","          2.16","1,165,024","1,206,984","          0.97","2,369,962","1,097,169","          2.16","1,163,911","1,206,051","          0.97","2,368,670","1,098,201","          2.16","1,163,001","1,205,669","          0.96","2,367,803","1,099,465","          2.15","1,162,463","1,205,340","          0.96","2,367,183","1,100,317","          2.15","1,162,046","1,205,137","          0.96"
"인천광역시  (2800000000)","3,000,454","1,352,622","          2.22","1,500,414","1,500,040","          1.00","3,003,150","1,355,494","          2.22","1,501,543","1,501,607","          1.00","3,006,045","1,359,114","          2.21","1,502,956","1,503,089","          1.00","3,008,484","1,361,550","          2.21","1,504,078","1,504,406","          1.00","3,009,873","1,363,146","          2.21","1,504,618","1,505,255","          1.00","3,011,073","1,364,650","          2.21","1,505,177","1,505,896","          1.00"
"광주광역시  (2900000000)","1,418,241","655,359","          2.16","700,377","717,864","          0.98","1,417,031","656,017","          2.16","699,715","717,316","          0.98","1,415,774","656,755","          2.16","699,084","716,690","          0.98","1,414,862","656,984","          2.15","698,628","716,234","          0.98","1,414,254","657,520","          2.15","698,255","715,999","          0.98","1,413,606","657,693","          2.15","697,904","715,702","          0.98"
"대전광역시  (3000000000)","1,441,562","680,459","          2.12","719,008","722,554","          1.00","1,441,536","682,238","          2.11","718,931","722,605","          0.99","1,441,689","683,954","          2.11","718,943","722,746","          0.99","1,441,272","684,540","          2.11","718,797","722,475","          0.99","1,441,119","685,330","          2.10","718,696","722,423","          0.99","1,440,558","685,633","          2.10","718,295","722,263","          0.99"
"울산광역시  (3100000000)","1,103,402","490,987","          2.25","567,081","536,321","          1.06","1,102,161","491,670","          2.24","566,604","535,557","          1.06","1,101,336","492,279","          2.24","566,352","534,984","          1.06","1,101,059","492,911","          2.23","566,255","534,804","          1.06","1,100,609","493,411","          2.23","566,063","534,546","          1.06","1,100,304","493,783","          2.23","565,890","534,414","          1.06"
"세종특별자치시  (3600000000)","386,944","160,942","          2.40","192,704","194,240","          0.99","387,193","161,303","          2.40","192,836","194,357","          0.99","387,411","161,711","          2.40","192,907","194,504","          0.99","387,726","161,975","          2.39","193,099","194,627","          0.99","387,774","162,063","          2.39","193,044","194,730","          0.99","387,940","162,161","          2.39","193,149","194,791","          0.99"
"경기도  (4100000000)","13,635,250","5,984,576","          2.28","6,857,867","6,777,383","          1.01","13,639,616","5,994,965","          2.28","6,859,811","6,779,805","          1.01","13,642,451","6,003,993","          2.27","6,860,823","6,781,628","          1.01","13,648,156","6,010,717","          2.27","6,863,252","6,784,904","          1.01","13,654,710","6,018,450","          2.27","6,866,117","6,788,593","          1.01","13,661,438","6,025,219","          2.27","6,868,886","6,792,552","          1.01"
