"행정구역","2024년01월_총인구수","2024년01월_세대수","2024년01월_세대당 인구","2024년01월_남자 인구수","2024년01월_여자 인구수","2024년01월_남여 비율","2024년02월_총인구수","2024년02월_세대수","2024년02월_세대당 인구","2024년02월_남자 인구수","2024년02월_여자 인구수","2024년02월_남여 비율","2024년03월_총인구수","2024년03월_세대수","2024년03월_세대당 인구","2024년03월_남자 인구수","2024년03월_여자 인구수","2024년03월_남여 비율","2024년04월_총인구수","2024년04월_세대수","2024년04월_세대당 인구","2024년04월_남자 인구수","2024년04월_여자 인구수","2024년04월_남여 비율","2024년05월_총인구수","2024년05월_세대수","2024년05월_세대당 인구","2024년05월_남자 인구수","2024년05월_여자 인구수","2024년05월_남여 비율","2024년06월_총인구수","2024년06월_세대수","2024년06월_세대당 인구","2024년06월_남자 인구수","2024년06월_여자 인구수","2024년06월_남여 비율","2024년07월_총인구수","2024년07월_세대수","2024년07월_세대당 인구","2024년07월_남자 인구수","2024년07월_여자 인구수","2024년07월_남여 비율","2024년08월_총인구수","2024년08월_세대수","2024년08월_세대당 인구","2024년08월_남자 인구수","2024년08월_여자 인구수","2024년08월_남여 비율"
"인천광역시  (2800000000)","3,000,454","1,352,622","          2.22","1,500,414","1,500,040","          1.00","3,003,150","1,355,494","          2.22","1,501,543","1,501,607","          1.00","3,006,045","1,359,114","          2.21","1,502,956","1,503,089","          1.00","3,008,484","1,361,550","          2.21","1,504,078","1,504,406","          1.00","3,009,873","1,363,146","          2.21","1,504,618","1,505,255","          1.00","3,011,073","1,364,650","          2.21","1,505,177","1,505,896","          1.00","3,012,997","1,366,579","          2.20","1,505,953","1,507,044","          1.00","3,014,770","1,368,072","          2.20","1,506,680","1,508,090","          1.00"
"인천광역시 인천광역시 중구 (2811000000)","159,481","79,803","          2.00","82,604","76,877","          1.07","161,569","80,770","          2.00","83,627","77,942","          1.07","162,369","81,243","          2.00","84,030","78,339","          1.07","162,789","81,548","          2.00","84,177","78,612","          1.07","163,196","81,811","          1.99","84,411","78,785","          1.07","164,129","82,304","          1.99","84,907","79,222","          1.07","164,722","82,631","          1.99","85,158","79,564","          1.07","165,064","82,772","          1.99","85,330","79,734","          1.07"
"인천광역시 인천광역시 동구 (2814000000)","59,325","28,058","          2.11","29,718","29,607","          1.00","59,178","28,021","          2.11","29,654","29,524","          1.00","59,073","27,990","          2.11","29,584","29,489","          1.00","58,931","27,969","          2.11","29,501","29,430","          1.00","58,856","27,944","          2.11","29,447","29,409","          1.00","58,761","27,910","          2.11","29,413","29,348","          1.00","58,666","27,886","          2.10","29,382","29,284","          1.00","58,612","27,890","          2.10","29,360","29,252","          1.00"
"인천광역시 인천광역시 미추홀구 (2817700000)","406,937","196,899","          2.07","204,668","202,269","          1.01","407,117","197,268","          2.06","204,811","202,306","          1.01","407,307","197,663","          2.06","204,960","202,347","          1.01","408,275","198,109","          2.06","205,475","202,800","          1.01","408,885","198,511","          2.06","205,760","203,125","          1.01","409,263","198,835","          2.06","205,928","203,335","          1.01","409,662","199,193","          2.06","206,104","203,558","          1.01","409,952","199,511","          2.05","206,236","203,716","          1.01"
"인천광역시 인천광역시 연수구 (2818500000)","392,681","159,854","          2.46","194,710","197,971","          0.98","392,959","160,078","          2.45","194,832","198,127","          0.98","393,825","161,090","          2.44","195,293","198,532","          0.98","394,421","161,456","          2.44","195,602","198,819","          0.98","394,631","161,631","          2.44","195,639","198,992","          0.98","395,060","161,797","          2.44","195,831","199,229","          0.98","396,468","162,380","          2.44","196,446","200,022","          0.98","397,950","162,904","          2.44","197,122","200,828","          0.98"
"인천광역시 인천광역시 남동구 (2820000000)","491,660","224,237","          2.19","244,140","247,520","          0.99","490,973","224,332","          2.19","243,757","247,216","          0.99","490,390","224,419","          2.19","243,474","246,916","          0.99","489,479","224,315","          2.18","243,005","246,474","          0.99","488,938","224,337","          2.18","242,687","246,251","          0.99","488,436","224,306","          2.18","242,456","245,980","          0.99","488,183","224,498","          2.17","242,398","245,785","          0.99","487,887","224,733","          2.17","242,221","245,666","          0.99"
"인천광역시 인천광역시 부평구 (2823700000)","495,627","224,024","          2.21","243,992","251,635","          0.97","495,768","224,353","          2.21","243,997","251,771","          0.97","495,215","224,412","          2.21","243,726","251,489","          0.97","494,750","224,470","          2.20","243,479","251,271","          0.97","494,485","224,509","          2.20","243,311","251,174","          0.97","494,221","224,613","          2.20","243,170","251,051","          0.97","493,857","224,635","          2.20","242,957","250,900","          0.97","493,623","224,672","          2.20","242,814","250,809","          0.97"
"인천광역시 인천광역시 계양구 (2824500000)","279,708","125,549","          2.23","139,204","140,504","          0.99","279,261","125,606","          2.22","138,950","140,311","          0.99","279,902","126,187","          2.22","139,291","140,611","          0.99","280,794","126,806","          2.21","139,726","141,068","          0.99","281,101","127,102","          2.21","139,830","141,271","          0.99","281,308","127,348","          2.21","139,903","141,405","          0.99","281,311","127,493","          2.21","139,904","141,407","          0.99","281,312","127,642","          2.20","139,947","141,365","          0.99"
"인천광역시 인천광역시 서구 (2826000000)","625,675","266,720","          2.35","315,196","310,479","          1.02","627,113","267,563","          2.34","315,846","311,267","          1.01","628,811","268,615","          2.34","316,602","312,209","          1.01","629,925","269,384","          2.34","317,121","312,804","          1.01","630,731","269,820","          2.34","317,586","313,145","          1.01","630,949","270,043","          2.34","317,662","313,287","          1.01","631,165","270,318","          2.33","317,689","313,476","          1.01","631,456","270,396","          2.34","317,765","313,691","          1.01"
"인천광역시 인천광역시 강화군 (2871000000)","69,013","35,025","          1.97","34,553","34,460","          1.00","68,925","35,035","          1.97","34,487","34,438","          1.00","68,941","35,039","          1.97","34,467","34,474","          1.00","68,918","35,044","          1.97","34,487","34,431","          1.00","68,881","35,074","          1.96","34,458","34,423","          1.00","68,772","35,054","          1.96","34,396","34,376","          1.00","68,771","35,083","          1.96","34,400","34,371","          1.00","68,752","35,114","          1.96","34,397","34,355","          1.00"
